WalkID 4, Step 1, ID 1, energy -195.07731015479456, accpeted true
WalkID 1, Step 1, ID 2, energy -195.11842634929658, accpeted true
WalkID 3, Step 1, ID 4, energy -195.19105105337957, accpeted true
WalkID 2, Step 1, ID 3, energy -195.24907690139395, accpeted true
WalkID 3, Step 2, ID 5, energy -194.93402825188448, accpeted false
WalkID 4, Step 2, ID 6, energy -195.06728809533013, accpeted true
WalkID 2, Step 2, ID 7, energy -195.22918328363545, accpeted true
WalkID 3, Step 3, ID 8, energy -194.69136938466204, accpeted false
WalkID 1, Step 2, ID 9, energy -194.11800286703829, accpeted false
WalkID 4, Step 3, ID 10, energy -195.07588888131068, accpeted true
WalkID 2, Step 3, ID 11, energy -194.64298481026873, accpeted false
WalkID 3, Step 4, ID 12, energy -195.08696690771814, accpeted false
WalkID 4, Step 4, ID 13, energy -194.57728571659325, accpeted false
WalkID 1, Step 3, ID 14, energy -194.66156612350846, accpeted false
WalkID 2, Step 4, ID 7, energy -195.22919226694552, accpeted true
WalkID 3, Step 5, ID 4, energy -195.19104696177882, accpeted true
WalkID 4, Step 5, ID 15, energy -194.7776841523991, accpeted false
WalkID 1, Step 4, ID 16, energy -195.15101904236948, accpeted true
WalkID 3, Step 6, ID 4, energy -195.19105901870938, accpeted true
WalkID 2, Step 5, ID 7, energy -195.229191731727, accpeted true
WalkID 4, Step 6, ID 17, energy -194.44168494539608, accpeted false
WalkID 1, Step 5, ID 18, energy -195.15256784007423, accpeted true
WalkID 2, Step 6, ID 19, energy -195.18321078480406, accpeted true
WalkID 3, Step 7, ID 4, energy -195.19104527301465, accpeted true
WalkID 1, Step 6, ID 20, energy -194.73739004427173, accpeted false
WalkID 4, Step 7, ID 21, energy -194.5175625778448, accpeted false
WalkID 2, Step 7, ID 19, energy -195.18321777586306, accpeted true
WalkID 1, Step 7, ID 18, energy -195.1525967564203, accpeted true
WalkID 4, Step 8, ID 10, energy -195.07636885325113, accpeted true
WalkID 3, Step 8, ID 22, energy -195.17555762746977, accpeted true
WalkID 2, Step 8, ID 23, energy -195.03743903779076, accpeted true
WalkID 1, Step 8, ID 18, energy -195.15268131616364, accpeted true
WalkID 4, Step 9, ID 24, energy -194.74718441847614, accpeted false
WalkID 2, Step 9, ID 23, energy -195.0372369212003, accpeted true
WalkID 1, Step 9, ID 25, energy -194.3154966773481, accpeted false
WalkID 3, Step 9, ID 4, energy -195.19104640196292, accpeted true
WalkID 4, Step 10, ID 26, energy -195.07291953745266, accpeted true
WalkID 1, Step 10, ID 27, energy -194.6146109260521, accpeted false
WalkID 2, Step 10, ID 23, energy -195.03746087356873, accpeted true
WalkID 4, Step 11, ID 28, energy -194.5874973219612, accpeted false
WalkID 1, Step 11, ID 29, energy -195.1206631629063, accpeted true
WalkID 3, Step 10, ID 4, energy -195.19104608777013, accpeted true
WalkID 2, Step 11, ID 30, energy -194.44489954651962, accpeted false
WalkID 4, Step 12, ID 31, energy -194.57532376640884, accpeted false
WalkID 2, Step 12, ID 32, energy -194.98936907457534, accpeted true
WalkID 1, Step 12, ID 33, energy -194.55615676703323, accpeted false
WalkID 3, Step 11, ID 34, energy -194.4284594016175, accpeted false
WalkID 1, Step 13, ID 35, energy -194.72266754712476, accpeted false
WalkID 4, Step 13, ID 10, energy -195.0764949848798, accpeted true
WalkID 1, Step 14, ID 36, energy -194.72151776781016, accpeted false
WalkID 2, Step 13, ID 37, energy -194.6524283286491, accpeted false
WalkID 4, Step 14, ID 38, energy -195.0768265013337, accpeted true
WalkID 1, Step 15, ID 39, energy -194.72122967257405, accpeted false
WalkID 3, Step 12, ID 40, energy -194.93547189304937, accpeted false
WalkID 4, Step 15, ID 41, energy -195.07614739229274, accpeted true
