WalkID 1, Step 1, ID 1, energy -195.12495910369455, accpeted false
WalkID 2, Step 1, ID 3, energy -194.71386347895645, accpeted false
WalkID 4, Step 1, ID 2, energy -195.2490995949035, accpeted true
WalkID 3, Step 1, ID 4, energy -195.1910519585226, accpeted true
WalkID 1, Step 2, ID 5, energy -194.2030957614215, accpeted false
WalkID 3, Step 2, ID 4, energy -195.19105584414655, accpeted true
WalkID 4, Step 2, ID 2, energy -195.24911260700708, accpeted true
WalkID 2, Step 2, ID 6, energy -194.42360198478193, accpeted false
WalkID 3, Step 3, ID 7, energy -194.73480772685173, accpeted false
WalkID 1, Step 3, ID 8, energy -195.01804878009898, accpeted false
WalkID 2, Step 3, ID 9, energy -195.21120116085555, accpeted false
WalkID 4, Step 3, ID 10, energy -194.52595606400345, accpeted false
WalkID 1, Step 4, ID 11, energy -195.0208109479603, accpeted false
WalkID 3, Step 4, ID 12, energy -194.62605249156897, accpeted false
WalkID 4, Step 4, ID 13, energy -195.15645227451026, accpeted false
WalkID 1, Step 5, ID 14, energy -195.15208705204003, accpeted false
WalkID 2, Step 4, ID 15, energy -194.91235156617765, accpeted false
WalkID 3, Step 5, ID 16, energy -194.98344269962456, accpeted false
WalkID 1, Step 6, ID 17, energy -194.68481763485644, accpeted false
WalkID 4, Step 5, ID 2, energy -195.24910637709155, accpeted true
WalkID 2, Step 5, ID 18, energy -194.94810040347465, accpeted false
WalkID 3, Step 6, ID 4, energy -195.19105034245896, accpeted true
WalkID 1, Step 7, ID 19, energy -195.09729004024172, accpeted false
WalkID 4, Step 6, ID 20, energy -195.22919229271932, accpeted false
WalkID 1, Step 8, ID 21, energy -195.02319262028655, accpeted false
WalkID 3, Step 7, ID 22, energy -195.1765476879518, accpeted true
WalkID 4, Step 7, ID 2, energy -195.2491023528271, accpeted true
WalkID 2, Step 6, ID 23, energy -194.22989959682698, accpeted false
WalkID 3, Step 8, ID 4, energy -195.19105283393847, accpeted true
WalkID 2, Step 7, ID 24, energy -194.8992512650623, accpeted false
WalkID 4, Step 8, ID 25, energy -195.06606677454624, accpeted false
WalkID 1, Step 9, ID 26, energy -195.12174813056083, accpeted false
WalkID 4, Step 9, ID 27, energy -194.92329429420604, accpeted false
WalkID 1, Step 10, ID 28, energy -194.8772595281059, accpeted false
WalkID 2, Step 8, ID 9, energy -195.21120087500515, accpeted false
WalkID 4, Step 10, ID 2, energy -195.24911390159318, accpeted true
WalkID 3, Step 9, ID 4, energy -195.1910395644625, accpeted true
WalkID 1, Step 11, ID 29, energy -195.11954478634522, accpeted false
WalkID 2, Step 9, ID 9, energy -195.21119786864992, accpeted false
WalkID 1, Step 12, ID 30, energy -194.95822206413357, accpeted false
WalkID 4, Step 11, ID 2, energy -195.24910166956778, accpeted true
WalkID 3, Step 10, ID 31, energy -193.3897403858279, accpeted false
WalkID 2, Step 10, ID 9, energy -195.21119936119734, accpeted false
WalkID 3, Step 11, ID 32, energy -195.15210291119396, accpeted false
WalkID 4, Step 12, ID 2, energy -195.24909966709907, accpeted true
WalkID 1, Step 13, ID 33, energy -194.41921253081267, accpeted false
WalkID 4, Step 13, ID 34, energy -195.10181525236857, accpeted false
WalkID 2, Step 11, ID 9, energy -195.21119969055135, accpeted false
WalkID 1, Step 14, ID 35, energy -195.10920941308257, accpeted false
WalkID 3, Step 12, ID 36, energy -194.2208039946599, accpeted false
WalkID 2, Step 12, ID 37, energy -194.86349323243093, accpeted false
WalkID 4, Step 14, ID 38, energy -194.6451973248503, accpeted false
WalkID 1, Step 15, ID 39, energy -194.91909647320605, accpeted false
WalkID 2, Step 13, ID 40, energy -194.99687833301206, accpeted false
WalkID 4, Step 15, ID 2, energy -195.24909393002548, accpeted true
WalkID 2, Step 14, ID 41, energy -195.16517159994055, accpeted false
WalkID 1, Step 16, ID 42, energy -194.5705729791248, accpeted false
WalkID 3, Step 13, ID 43, energy -195.1782375635705, accpeted true
WalkID 4, Step 16, ID 44, energy -195.10517643561107, accpeted false
WalkID 3, Step 14, ID 45, energy -194.8618410423019, accpeted false
WalkID 2, Step 15, ID 9, energy -195.21120210512365, accpeted false
WalkID 1, Step 17, ID 46, energy -194.1509978180515, accpeted false
WalkID 1, Step 18, ID 47, energy -194.69959127347025, accpeted false
WalkID 2, Step 16, ID 48, energy -194.89896223995262, accpeted false
WalkID 4, Step 17, ID 49, energy -194.9807736402404, accpeted false
WalkID 3, Step 15, ID 22, energy -195.1769180359305, accpeted false
WalkID 1, Step 19, ID 50, energy -195.15139698619905, accpeted false
